cwnd_CC,mss_CC,cwnd_LC,mss_LC,cwnd_CS,mss_CS,cwnd_LS,mss_LS,droprate,markrate,qlen_L,qlen_C,Epoch,
311,1402,10,1402,10,1402,10,1402,621621,514728,16,42,08:32:12.534,
357,1402,10,1402,10,1402,10,1402,632253,524358,41,33,08:32:13.543,
10,1402,514,1402,10,1402,10,1402,644817,532664,34,42,08:32:14.554,
416,1402,10,1402,10,1402,10,1402,655484,538879,4,40,08:32:15.564,
431,1402,10,1402,10,1402,10,1402,664225,544422,0,23,08:32:16.581,
437,1402,10,1402,10,1402,10,1402,673589,549361,0,1,08:32:17.594,
439,1402,318,1402,10,1402,10,1402,683264,554248,0,43,08:32:18.609,
439,1402,339,1402,10,1402,10,1402,694159,559620,41,53,08:32:19.624,
439,1402,10,1402,10,1402,10,1402,704424,565637,6,70,08:32:20.635,
443,1402,10,1402,10,1402,10,1402,716291,571211,0,23,08:32:21.647,
452,1402,396,1402,10,1402,10,1402,728606,577207,0,40,08:32:22.659,
469,1402,414,1402,10,1402,10,1402,750186,588108,0,50,08:32:23.676,
495,1402,430,1402,10,1402,10,1402,761375,593081,0,0,08:32:24.696,
538,1402,10,1402,10,1402,10,1402,738521,582329,63,16,08:32:25.722,
594,1402,462,1402,10,1402,10,1402,771436,597662,0,41,08:32:26.740,
469,1402,10,1402,10,1402,10,1402,779945,601489,1,70,08:32:27.769,
526,1402,10,1402,10,1402,10,1402,790071,604898,0,29,08:32:28.781,
563,1402,277,1402,10,1402,10,1402,810068,612675,0,32,08:32:29.792,
591,1402,10,1402,10,1402,10,1402,828624,620790,0,18,08:32:30.807,
608,1402,309,1402,10,1402,10,1402,799002,608362,0,54,08:32:31.828,
617,1402,324,1402,10,1402,10,1402,820703,617238,3,28,08:32:32.844,
621,1402,10,1402,10,1402,10,1402,838524,625387,15,59,08:32:33.856,
621,1402,355,1402,10,1402,10,1402,857574,634570,0,33,08:32:34.869,
621,1402,368,1402,10,1402,10,1402,865408,638126,37,56,08:32:35.886,
623,1402,10,1402,10,1402,10,1402,846786,629388,14,46,08:32:36.900,
630,1402,397,1402,10,1402,10,1402,875043,642743,0,25,08:32:37.916,
645,1402,10,1402,10,1402,10,1402,892684,649165,30,64,08:32:38.932,
670,1402,227,1402,10,1402,10,1402,902348,652573,0,20,08:32:39.957,
703,1402,10,1402,10,1402,10,1402,883490,646211,0,31,08:32:40.968,
752,1402,10,1402,10,1402,10,1402,910114,656053,29,66,08:32:41.988,
820,1402,273,1402,10,1402,10,1402,919636,659919,0,16,08:32:43.000,
634,1402,10,1402,10,1402,10,1402,926199,661932,0,43,08:32:44.023,
701,1402,10,1402,10,1402,10,1402,932796,665544,1,35,08:32:45.044,
746,1402,10,1402,10,1402,10,1402,938999,668633,0,1,08:32:46.056,
755,1402,10,1402,10,1402,10,1402,944749,671566,8,24,08:32:47.072,
766,1402,224,1402,10,1402,10,1402,952777,675416,0,34,08:32:48.084,
776,1402,244,1402,10,1402,10,1402,960873,679843,7,53,08:32:49.097,
785,1402,10,1402,10,1402,10,1402,968962,684187,0,34,08:32:50.116,
598,1402,10,1402,10,1402,10,1402,977494,686679,8,1,08:32:51.129,
662,1402,10,1402,10,1402,10,1402,983119,688327,0,0,08:32:52.141,
712,1402,109,1402,10,1402,10,1402,986550,689705,0,34,08:32:53.155,
746,1402,10,1402,10,1402,10,1402,992732,692496,0,22,08:32:54.172,
768,1402,151,1402,10,1402,10,1402,999669,696296,21,1,08:32:55.192,
780,1402,169,1402,10,1402,10,1402,1008436,700070,15,74,08:32:56.206,
787,1402,10,1402,10,1402,10,1402,1011914,702138,0,4,08:32:57.228,
788,1402,202,1402,10,1402,10,1402,1019615,706492,0,26,08:32:58.240,
788,1402,224,1402,10,1402,10,1402,1028280,711084,0,47,08:32:59.256,
789,1402,242,1402,10,1402,10,1402,1038897,716117,0,71,08:33:00.269,
10,1402,258,1402,,,10,1402,1054469,724237,0,6,08:33:01.292,
640,1402,274,1402,10,1402,10,1402,1062471,728010,0,48,08:33:02.312,
693,1402,289,1402,10,1402,10,1402,1044965,719704,0,37,08:33:03.325,
736,1402,10,1402,10,1402,10,1402,1070254,732243,0,55,08:33:04.336,
761,1402,317,1402,10,1402,10,1402,1078857,736319,0,143,08:33:05.352,
404,1402,10,1402,10,1402,10,1402,1082336,737736,0,18,08:33:06.373,
427,1402,30,1414,10,1402,10,1402,1084288,737737,0,45,08:33:07.385,
442,1402,10,1402,10,1402,10,1402,1087151,737737,0,0,08:33:08.397,
450,1402,10,1402,10,1402,10,1402,1088737,737737,0,54,08:33:09.408,
453,1402,10,1402,2,1402,10,1402,1090581,737737,0,20,08:33:10.424,
10,1402,30,1414,5,1402,10,1402,1091438,737737,0,0,08:33:11.436,
10,1360,10,1402,10,1402,10,1402,1091444,737737,0,0,08:33:12.449,
